country,total_population,pop_under_18,pop_under_5,an_pop_growth_2000_2020,an_pop_growth_2020_2030,,total_fertility,life_exp_1970,life_exp_2000,life_exp_2021,dep_ratio_total,dep_ratio_child,dep_ratio_oldage,urban_pop_share,ann_growth_rate_2000_2020,ann_growth_rate_2020_2030,,net_mig_rate,under_five_mort_1990,under_five_mort_1992,under_five_mort_1994,under_five_mort_1996,under_five_mort_1998,under_five_mort_2000,under_five_mort_2002,under_five_mort_2004,under_five_mort_2006,under_five_mort_2008,under_five_mort_2010,under_five_mort_2012,under_five_mort_2014,under_five_mort_2016,under_five_mort_2018,under_five_mort_2020,under_five_mort_2022,under_five_mort_2024,female_life_exp_2021,materal_universal_health_2019,family_planning_demand_2016_2021,antenatal_care_1_visit,antenatal_care_4_visit,per_birth_attendent,per_inst_delivery,per_c_section,num_materal_deaths,maternal_mort_ratio,total_ece_attendence,male_ece_attendance,female_ece_attendance,low20_ece_attend,high20_ece_attend,total_earlystim,male_earlystim,female_earlystim,low20_earlystim,high20_earlystim,books_athome,toys_athome,total_inq_sup,male_inq_sup,female_inq_sup,low20_inq_sup,high20_inq_sup,total_development_ontrack,male_development_ontrack,female_development_ontrack,low20_development_ontrack,high20_development_ontrack,oos_ male_age_beforeprimary,oos_female_age_beforeprimary,oos_male_primaryrate,oos_female_primaryrate,oos_male_lowsecrate,oos_female_lowsecrate,oos_male_upsecrate,oos_female_upsecrate,male_primary_complrate,female_primary_complrate,male_lowsec_complrate,female_lowsec_complrate,male_upsec_complrate,female_upsec_complrate,lo_grade3_prof_read,lo_grade3_prof_math,lo_endprim_prof_read,lo_endprim_prof_math,lo_lowsec_prof_read,lo_lowsec_prof_math,youth_lit_rate_male,youth_lit_rate_female,child_labor_total,child_labor_male,child_labor_female,child_marriage_female,child_marriage_male,child_under1_total,child_under5_total,child_under5_male,child_under5_female,mother_nb_cb,prop_child_socoprotect,bottom40_socoprotect_bene,top20_socoprotect_bene,bottom20_socoprotect_bene,bottom40_householdincomeshare,top20_householdincomeshare,bottom20_householdincomeshare,gini_coef,palma_index,vmr_ratio,gdp_percaptia,sigi_index,gender_eq_legal,maternity_leave,paternity_leave,ed_attan_us_male,ed_attan_us_female,rural_lf_part_rate_male,urban_lf_part_rate_male,total_lf_part_rate_male,rural_lf_part_rate_female,urban_lf_part_rate_female,total_lf_part_rate_female,rural_unemploy_male,urban_unemploy_male,total_unemploy_male,rural_unemploy_female,urban_unemploy_female,total_unemploy_female,male_mobilephone,female_mobilephone,finanical_inclusion_male,finanical_inclusion_female,unpaid_time_use_male,unpaid_time_use_female
Slovakia,5448,1026,289,0,0,54,2,70,73,75,49,24,26,54,0,0,,0,15,10,6,3,6,5,13,5,9,5,3,3,1,4,3,1,312,152,78,77,-,97,-,98,-,24,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,3,3,4,5,11,11,-,-,-,-,-,-,-,-,93,71,69,75,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,24,34,9,23,1,1,19266,Very low,100,Yes,No,91,84,68,68,68,51,53,52,7,5,6,7,5,6,78,74,85,83,-,-
Slovenia,2119,380,101,0,0,19,2,68,76,81,55,24,32,55,1,1,,2,10,5,2,4,2,2,9,2,6,3,1,2,1,4,3,2,42,24,84,80,-,100,-,100,100,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,8,1,0,2,1,1,1,-,-,-,-,-,-,-,-,96,75,82,84,-,-,-,-,-,-,-,-,100,100,100,96,79,-,-,-,25,35,10,24,1,1,25941,Very low,90,Yes,Yes,87,79,63,62,63,53,53,53,4,4,4,5,5,5,98,97,98,97,-,-
Solomon Islands,708,323,101,2,2,21,4,56,67,70,75,69,6,25,4,3,,-1,38,31,19,2,20,17,31,16,15,13,8,7,4,12,9,1,393,160,72,50,38,89,69,86,85,6,26,122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,33,9,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,17,19,21,4,-,88,87,89,24,-,-,-,-,18,45,7,37,2,1,2374,-,-,No,No,-,-,90,81,86,86,78,82,0,1,1,0,1,1,-,-,-,-,-,-
Somalia,17066,9212,3200,3,3,744,6,46,51,55,99,94,5,47,5,4,,-1,180,173,112,2,117,105,109,71,45,45,36,39,25,33,28,1,79723,26719,57,27,-,26,6,9,9,-,4500,621,2,2,2,1,6,79,80,79,76,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,-,3,3,3,3,-,-,-,-,-,-,-,-,41,2,-,127,-,-,Yes,No,-,-,79,63,74,24,19,22,9,23,13,9,24,13,-,-,-,-,-,-
South Africa,59392,19961,5813,1,1,1177,2,56,58,62,53,44,9,68,2,1,,0,62,71,33,4,35,30,48,26,22,17,11,7,6,21,16,1,38868,12979,65,67,80,94,76,97,96,26,1500,127,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,27,12,10,11,10,21,20,95,98,85,91,45,52,22,16,-,-,-,-,98,99,4,4,3,4,1,-,89,-,-,8,77,50,10,25,7,68,2,67,10,0,6001,Low,-,Yes,Yes,77,54,49,69,63,37,56,50,31,26,27,33,30,31,77,80,68,70,-,-
South Sudan,10748,5621,1486,3,2,313,4,26,46,55,91,85,5,21,4,3,,-3,251,182,99,3,104,94,149,64,64,56,40,54,22,31,26,1,31312,12408,57,32,4,62,17,19,12,1,3800,1223,6,6,6,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,81,58,67,49,63,57,72,31,18,22,10,12,4,-,-,-,-,-,-,48,47,-,-,-,52,-,34,35,35,36,-,18,-,-,-,-,-,-,46,3,1,1120,-,-,No,Yes,16,11,79,63,74,75,61,71,8,20,11,9,24,13,-,-,-,-,-,-
Spain,47487,8198,1897,1,0,358,1,72,79,83,52,21,30,81,1,0,,6,9,5,3,3,3,3,7,3,5,3,2,2,1,3,2,2,1089,637,86,86,-,-,-,100,-,26,12,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,3,3,1,1,2,1,-,-,-,-,-,-,-,-,97,65,84,75,99,100,-,-,-,-,-,-,100,100,100,100,100,-,-,-,18,41,6,33,1,1,29565,Very low,100,Yes,Yes,53,53,59,64,64,46,53,52,12,13,13,17,16,16,97,97,96,92,-,-
Sri Lanka,21773,6120,1562,1,0,306,2,65,70,76,52,35,17,19,1,1,,-4,23,17,7,4,7,6,19,6,14,10,4,6,2,11,6,3,2088,1179,80,67,74,99,93,100,100,32,89,29,60,-,-,52,73,95,94,96,-,-,47,85,-,-,-,-,-,-,-,-,-,-,-,-,2,3,0,0,18,13,99,99,94,96,32,43,-,-,-,-,-,-,99,99,1,1,1,10,-,-,97,97,97,29,32,59,7,33,18,47,7,45,2,1,3853,High,-,No,No,61,63,74,73,74,34,30,34,3,3,3,7,6,7,-,-,-,-,-,-
State of Palestine,5133,2339,712,2,2,145,4,55,70,73,74,68,6,77,3,2,,-2,45,30,15,3,16,13,36,13,23,17,9,5,3,14,9,2,2147,1350,76,-,61,99,95,100,99,26,30,20,34,36,33,26,45,76,75,77,66,87,12,73,14,14,14,17,12,84,82,86,81,90,33,30,5,5,5,1,31,16,99,100,78,94,51,74,-,-,-,-,-,-,99,99,7,10,5,13,-,97,99,99,99,7,12,30,29,15,19,41,7,45,2,1,3562,-,40,-,-,45,47,76,69,70,19,18,18,12,23,21,29,44,41,79,70,34,16,3,20
Sudan,45657,21570,7084,2,2,1534,4,46,58,65,80,74,6,36,3,3,,0,132,104,55,3,60,50,82,39,43,37,27,26,8,28,22,1,82570,40883,68,44,30,79,51,78,28,9,4100,270,22,22,23,7,59,-,-,-,-,-,2,46,-,-,-,-,-,-,-,-,-,-,60,60,31,35,33,35,53,50,66,64,49,52,33,28,-,-,-,-,-,-,73,73,18,20,16,34,-,62,67,69,66,-,-,-,-,-,20,42,8,34,1,1,442,-,-,No,No,5,1,71,65,68,31,27,29,11,13,11,23,39,29,70,54,20,10,-,-
Suriname,613,195,54,1,1,11,2,60,66,70,51,40,11,66,1,1,,-1,45,31,17,3,19,15,39,15,21,17,11,5,4,14,11,1,190,119,74,67,58,85,68,98,93,16,11,96,46,43,49,32,67,66,63,70,46,80,26,65,6,6,6,8,3,77,72,83,65,94,10,6,13,10,19,11,42,34,80,90,41,58,18,26,30,12,-,-,-,-,99,98,4,5,4,36,20,98,98,98,99,0,58,-,-,-,-,-,-,38,6,0,6360,-,-,Yes,Yes,23,26,61,66,64,37,41,39,3,5,4,9,13,11,-,-,-,-,-,-
Sweden,10467,2215,595,1,1,113,2,75,80,83,61,28,32,88,1,1,,8,7,4,2,2,3,2,6,2,4,2,1,1,1,4,2,2,279,153,85,87,87,100,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,1,3,-,-,-,-,-,-,-,-,98,74,82,81,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,21,38,8,28,1,1,51648,Very low,-,Yes,Yes,77,77,66,69,68,59,62,61,6,7,7,6,7,7,-,-,-,-,-,-
Switzerland,8691,1560,436,1,1,87,1,73,80,84,52,23,29,74,1,1,,3,8,6,4,2,4,4,7,3,4,3,3,2,1,3,2,1,332,235,86,87,-,-,-,-,-,30,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,0,1,17,20,-,-,-,-,-,-,-,-,-,-,76,83,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,20,41,8,31,1,1,81989,Very low,-,Yes,No,90,84,75,73,73,65,62,63,3,4,4,4,5,5,-,-,-,-,-,-
Syrian Arab Republic,21324,8679,1892,1,3,427,3,61,71,72,60,53,7,56,1,4,,10,37,23,22,0,24,20,30,18,17,12,11,10,5,12,11,0,9057,4621,75,56,53,88,64,96,78,26,120,30,8,8,7,4,18,70,70,69,52,84,30,52,17,17,17,22,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,89,96,96,96,-,-,-,-,-,-,-,-,34,1,1,1178,-,-,Yes,No,25,19,78,71,74,15,14,15,4,8,6,17,24,20,-,-,-,-,-,-
Tajikistan,9750,4093,1269,2,2,261,3,57,63,72,66,60,6,28,2,3,,0,103,84,31,5,35,27,81,28,31,28,14,8,2,14,9,2,8189,3540,74,66,52,92,64,95,88,5,44,17,6,-,-,-,-,74,73,74,56,86,17,46,13,13,12,15,11,-,-,-,-,-,87,88,1,2,-,-,19,27,99,98,95,93,80,63,-,-,-,-,-,-,-,-,-,-,-,9,-,90,96,96,96,67,14,15,43,8,19,42,7,34,1,1,871,Medium,-,Yes,No,85,76,46,52,50,27,30,29,5,9,8,3,6,5,-,-,-,-,-,-
Thailand,71601,13764,3379,1,0,644,1,58,72,79,43,23,21,52,3,1,,0,37,22,8,5,9,7,30,7,21,12,5,6,4,10,5,3,5429,3035,83,83,88,99,90,99,99,35,190,29,86,85,88,85,88,92,90,94,85,98,34,80,5,6,4,5,3,93,91,95,90,96,0,0,-,-,-,-,21,21,98,99,81,92,59,72,-,-,-,-,40,47,98,99,-,-,-,20,10,100,100,100,100,40,21,52,12,26,19,43,8,36,2,1,7807,Medium,60,No,No,35,35,76,75,75,58,60,59,1,1,1,1,1,1,83,84,84,80,-,-
Timor-Leste,1321,562,157,2,1,33,3,37,59,68,68,59,9,32,3,2,,-2,176,111,51,4,55,46,132,43,57,39,22,26,9,22,14,2,1653,733,70,53,46,84,77,57,49,4,67,204,14,13,16,9,16,81,83,79,72,89,4,40,29,29,30,33,26,53,51,56,34,74,51,48,7,3,12,9,27,22,77,85,63,70,49,55,-,-,-,-,-,-,82,85,9,9,10,15,1,38,60,60,61,-,38,42,25,14,23,38,9,29,1,1,1561,-,-,-,-,-,-,75,66,73,65,51,62,2,8,3,3,17,6,-,-,-,-,-,-
Togo,8645,4035,1270,2,2,275,4,46,55,62,77,71,5,43,4,3,,0,148,120,63,3,68,57,91,43,44,37,24,33,12,27,21,1,16919,6618,62,44,40,78,55,69,80,9,1100,399,20,21,20,10,40,19,18,19,16,26,1,38,29,29,29,38,21,52,50,55,48,61,1,0,2,4,15,28,47,66,83,76,55,39,31,12,25,47,19,16,-,-,92,84,39,38,39,25,3,79,83,84,82,-,49,-,-,-,15,49,5,43,2,1,679,High,-,Yes,Yes,17,3,62,61,61,58,54,56,3,7,5,1,5,3,49,39,53,38,-,-
Tokelau,2,1,0,0,1,0,3,62,72,75,60,47,13,0,-,-,,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,-,-,-,-,31,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tonga,106,44,12,0,1,2,3,63,69,71,69,59,10,23,0,1,,-9,22,17,11,2,12,10,19,10,10,7,5,3,2,8,6,1,27,12,74,56,50,98,89,98,98,14,3,126,35,30,41,29,37,88,87,88,86,92,24,63,9,10,7,14,6,79,79,79,75,82,0,11,-,-,17,4,49,33,98,99,65,76,45,56,-,-,-,-,-,-,99,100,26,33,19,10,3,93,98,97,98,26,3,-,-,-,18,45,7,38,2,1,4903,-,-,No,No,53,55,58,52,56,39,36,38,3,3,3,4,4,4,-,-,-,-,-,-
Trinidad and Tobago,1526,353,92,1,0,18,2,65,69,73,44,28,16,53,0,0,,2,30,28,16,3,18,15,27,15,20,18,10,4,2,12,9,2,294,184,76,73,58,95,100,100,98,22,5,27,85,85,84,72,93,96,95,96,94,100,76,76,2,2,1,3,1,91,89,93,90,93,21,20,-,-,-,-,27,25,-,-,-,-,-,-,-,-,80,-,58,48,-,-,1,1,1,11,-,85,97,97,97,40,15,-,-,-,-,-,-,40,2,1,17398,Low,-,Yes,No,67,68,68,72,71,48,51,50,3,4,4,3,4,4,-,-,-,-,-,-
Tunisia,12263,3574,1035,1,1,197,2,54,74,74,51,38,13,70,1,1,,-1,55,30,16,3,18,15,43,14,28,18,12,7,3,15,11,2,3281,2278,77,70,63,95,84,100,100,43,74,37,51,52,49,17,71,73,73,74,44,91,24,62,13,13,12,18,8,82,83,82,75,91,-,-,-,-,-,-,-,-,94,97,68,80,40,57,47,-,-,-,28,25,-,-,2,3,1,1,0,100,100,100,100,25,29,-,-,-,20,41,8,33,1,1,3317,High,-,No,Yes,4,1,70,69,69,17,29,25,11,13,12,22,22,22,83,77,46,28,-,-
Türkiye,84775,23673,6610,1,0,1245,2,57,72,76,47,34,12,77,2,1,,-1,74,38,9,7,10,8,56,8,32,19,5,9,2,11,4,5,11390,5883,79,79,60,96,90,97,99,52,220,17,-,-,-,-,-,65,66,65,42,88,29,76,6,6,7,9,5,74,70,78,62,85,23,25,5,5,3,4,17,19,99,98,96,92,51,44,-,-,-,70,74,56,100,100,4,4,4,15,-,-,98,98,99,-,-,64,6,38,16,48,5,42,2,1,9127,Low,-,Yes,Yes,49,36,68,75,72,33,35,34,10,14,12,14,18,16,-,-,-,-,-,-
Turkmenistan,6342,2282,688,1,1,137,3,58,65,69,57,49,8,53,2,2,,-1,79,70,41,3,47,35,65,36,27,30,23,7,4,11,9,1,5728,3217,73,73,80,100,98,100,100,8,7,5,41,40,42,17,77,90,90,90,88,93,32,75,2,3,2,2,2,95,95,95,90,97,-,-,-,-,-,-,-,-,100,100,99,99,97,97,71,53,-,-,-,-,-,-,0,0,0,6,-,99,100,100,100,-,-,-,-,-,-,-,-,27,2,1,6967,-,-,-,-,81,73,68,74,72,42,46,44,3,6,5,1,3,2,-,-,-,-,-,-
Turks and Caicos Islands,45,9,3,4,1,1,2,56,74,75,37,23,14,94,5,1,,15,14,9,4,3,5,4,11,4,8,5,2,3,1,-,-,-,2,1,78,-,-,97,93,100,97,55,-,-,93,95,92,-,100,87,86,88,57,97,55,74,1,1,0,0,0,91,93,88,-,95,8,0,9,9,9,15,48,41,98,100,98,100,100,96,-,-,-,-,-,-,-,-,6,9,3,23,5,97,99,99,99,58,-,-,-,-,-,-,-,-,-,-,31353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tuvalu,11,4,1,1,1,0,3,55,63,65,61,51,10,65,2,2,,-1,53,42,21,3,23,19,41,18,28,24,10,10,5,15,9,2,6,3,69,-,41,94,60,100,99,20,-,-,73,75,70,70,79,87,87,88,83,91,24,66,17,19,14,31,7,69,70,67,65,76,10,0,18,16,31,36,68,61,98,100,74,91,45,60,-,-,-,-,-,-,-,-,4,3,5,2,2,81,87,85,89,-,-,-,-,-,-,-,-,39,2,1,4059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,45854,24092,7690,3,2,1687,5,50,48,63,88,85,3,26,5,5,,1,183,146,42,6,47,37,107,31,40,33,19,29,13,23,15,2,69025,32037,65,50,55,95,57,74,73,6,4700,284,37,34,39,15,66,53,51,55,38,74,2,50,37,37,37,49,21,65,64,66,56,82,-,-,16,12,49,49,72,78,39,43,27,23,18,15,33,21,52,53,49,42,89,90,18,17,19,34,6,26,32,32,32,5,-,10,79,3,16,50,6,43,2,1,794,High,-,No,Yes,14,6,73,74,73,68,65,67,1,2,1,1,6,2,-,-,-,-,-,-
Ukraine,43531,7898,1798,-1,-1,336,1,69,68,72,48,23,26,70,0,-1,,0,19,18,8,4,9,7,16,7,12,11,5,4,2,7,5,2,2834,1622,77,73,68,99,87,100,99,12,56,17,52,54,50,30,68,98,97,98,95,99,91,52,7,6,7,11,5,89,89,89,88,91,-,-,9,7,4,3,7,4,100,99,100,100,97,97,-,-,-,-,74,-,-,-,3,3,3,9,4,99,100,100,100,100,100,46,16,22,24,37,10,26,1,1,3659,Low,50,Yes,No,78,71,61,64,63,45,48,47,10,8,9,8,8,8,89,90,65,61,-,-
United Arab Emirates,9365,1599,482,5,1,97,1,60,74,79,20,18,2,87,5,1,,0,17,11,6,3,7,6,14,5,8,6,3,4,2,8,5,3,618,337,81,78,-,100,-,99,100,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,2,3,3,2,-,-,-,-,-,-,-,-,68,53,57,50,95,98,-,-,-,-,-,-,100,100,100,-,1,-,-,-,23,35,9,33,1,-,43103,-,60,No,Yes,72,71,90,95,93,51,53,52,1,2,1,5,7,6,100,100,93,76,-,-
United Kingdom,67281,14169,3652,1,0,677,2,72,78,81,58,28,30,84,1,1,,3,9,7,4,2,5,4,8,4,4,4,3,2,1,4,3,2,2864,1893,83,88,87,-,-,-,-,26,67,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,2,2,4,3,-,-,-,-,-,-,-,-,97,83,83,81,-,-,-,-,-,0,-,-,100,100,100,100,66,-,-,-,19,42,7,35,1,1,42329,Very Low,-,Yes,Yes,80,80,65,69,68,55,59,58,3,4,4,2,4,4,-,-,-,-,-,-
United Republic of Tanzania,63588,32079,10537,3,3,2303,5,46,52,66,88,82,6,36,5,4,,0,167,130,47,5,51,43,100,34,40,34,20,27,13,26,18,2,105694,46050,68,46,55,98,62,64,63,6,5400,238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,42,18,15,66,64,84,88,75,84,31,27,32,27,56,35,-,-,-,-,-,-,25,26,24,31,4,23,26,28,25,0,-,54,9,18,17,48,7,40,2,1,1122,High,-,No,Yes,5,2,90,83,87,85,72,80,1,3,2,1,6,3,-,-,-,-,-,-
United States,336998,74735,19164,1,0,3723,2,71,77,77,54,28,26,83,1,1,,2,11,8,6,1,7,6,9,5,6,5,3,2,1,3,3,1,23162,12169,80,83,78,-,97,99,-,31,770,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,1,1,-,-,3,5,-,-,-,-,-,-,-,-,96,77,81,73,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,16,47,5,42,2,1,65298,Very low,-,No,Yes,91,91,63,70,69,53,58,57,4,4,4,4,4,4,-,-,-,-,-,-
Uruguay,3426,811,195,0,0,36,1,69,75,75,54,30,24,96,0,0,,0,23,17,6,5,6,5,20,5,12,8,4,3,1,7,5,2,211,143,79,79,-,97,77,100,100,30,7,19,85,84,85,-,-,93,94,91,88,98,59,75,3,3,3,3,4,87,89,84,79,97,9,0,1,0,1,0,13,8,96,98,66,73,48,29,-,-,-,-,58,49,99,99,4,5,3,25,-,99,100,100,100,100,-,59,13,37,16,46,6,39,2,1,16190,Low,90,Yes,Yes,27,35,77,73,73,50,56,56,2,8,8,7,12,11,82,84,68,61,8,20
Uzbekistan,34081,11809,3847,1,1,803,3,61,66,71,54,46,8,50,2,1,,-1,70,61,14,7,16,12,58,13,30,28,8,7,3,12,6,3,11404,6172,73,71,-,99,-,100,100,17,250,30,51,51,51,-,-,91,91,90,83,95,43,67,5,5,5,6,7,-,-,-,-,-,37,38,0,2,0,2,14,15,-,-,-,-,-,-,-,-,-,-,-,-,100,100,-,-,-,7,1,100,100,100,100,16,29,49,14,30,19,44,7,40,1,1,1725,-,-,Yes,No,98,96,74,76,75,48,50,49,4,7,6,4,7,6,78,66,38,36,-,-
Vanuatu,319,145,45,2,2,9,4,55,69,70,76,70,7,26,3,3,,-1,36,29,23,1,25,21,30,20,17,12,10,7,5,12,11,1,216,93,73,52,51,76,52,89,89,12,8,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,3,4,27,24,58,52,-,-,-,-,-,-,-,-,-,-,-,-,96,97,16,15,16,21,5,-,43,44,43,-,13,-,-,-,-,-,-,38,2,1,3115,-,-,No,No,9,5,83,71,79,64,54,61,1,4,2,1,3,1,-,-,-,-,-,-
Venezuela (Bolivarian Republic of),28200,9560,2396,1,1,452,2,64,72,71,58,44,13,88,1,1,,-18,30,22,24,-1,26,22,25,21,13,11,15,4,4,10,11,0,11322,6779,75,70,-,98,84,99,99,52,1200,259,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,10,10,15,13,28,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,-,-,-,-,-,-,-,-,-,-,38,2,1,16054,-,-,Yes,Yes,59,65,75,75,75,42,42,42,4,7,7,6,8,8,-,-,-,-,-,-
Viet Nam,97468,26183,7368,1,1,1463,2,56,72,74,46,33,13,38,3,2,,0,52,30,21,2,24,17,37,16,24,15,11,10,3,11,8,2,30455,15404,78,70,70,97,88,96,96,34,1800,124,71,74,69,53,86,76,76,76,52,96,27,46,7,7,6,13,4,89,88,89,81,92,0,0,-,-,-,-,-,-,96,97,81,87,50,61,-,-,82,92,86,81,99,99,7,6,8,11,3,88,96,96,96,44,1,83,3,64,19,43,7,42,1,1,2715,Low,80,Yes,Yes,34,30,86,75,82,78,64,73,2,3,2,2,3,2,78,77,31,30,-,-
Yemen,32982,15348,4714,3,2,1009,4,41,63,64,74,69,5,39,4,3,,-3,126,95,62,2,66,58,89,47,44,37,28,18,7,24,23,0,61914,28554,67,44,41,60,25,45,30,5,1900,183,3,3,3,0,8,33,34,32,16,57,10,49,34,36,33,46,22,-,-,-,-,-,96,96,10,21,23,34,46,68,70,55,55,39,37,23,-,-,-,-,-,-,-,-,-,-,-,32,-,27,31,31,30,-,-,-,-,-,19,45,7,37,2,1,774,Very high,-,No,No,-,-,70,72,71,5,8,6,12,10,12,24,28,25,-,-,-,-,-,-
Zambia,19473,9768,3073,3,2,672,4,51,45,61,82,79,3,45,4,4,,0,182,156,58,5,62,53,108,40,37,35,25,27,10,22,14,2,37822,16492,64,55,66,97,64,80,84,5,890,135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,13,-,-,-,-,71,73,54,50,33,27,-,-,-,-,5,2,93,92,23,23,23,29,3,13,14,14,14,4,21,9,59,1,9,61,3,57,5,0,1305,Medium,-,Yes,No,23,9,82,75,79,74,67,70,12,10,11,12,14,13,44,45,52,40,-,-
Zimbabwe,15994,7622,2300,1,2,489,3,57,45,59,79,73,6,32,1,2,,-2,80,96,50,3,54,45,51,36,23,28,25,13,11,23,19,1,23960,12211,62,55,85,93,72,86,86,9,1700,357,28,28,29,16,53,37,37,37,29,54,3,69,20,21,20,28,12,71,68,74,66,77,-,-,15,13,-,-,40,45,86,92,45,53,17,14,20,5,-,-,-,-,-,-,28,33,22,34,2,30,49,48,49,-,7,61,16,49,15,51,6,44,2,1,1464,Medium,70,Yes,No,16,9,92,83,89,87,64,78,1,11,5,1,16,6,46,48,59,52,-,-
East Asia and Pacific,2351075,544718,141163,1,0,24171,2,57,72,76,47,28,18,61,3,1,,0,57,39,15,5,16,13,44,12,28,20,7,9,3,14,7,3,369615,176539,80,77,88,97,87,95,89,-,18000,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,15,3,4,10,8,23,15,95,96,86,89,62,66,-,-,-,-,-,-,99,99,-,-,-,7,1,-,-,-,-,57,14,51,14,27,18,45,7,43,2,1,11386,-,-,-,-,34,29,83,72,76,64,55,59,3,5,4,3,4,3,80,75,59,61,-,-
Europe and Central Asia,921948,196265,52835,0,0,10098,2,68,72,76,54,28,26,73,1,0,,1,31,21,8,5,8,7,25,7,14,10,4,4,1,7,4,3,77934,41355,80,73,74,-,-,98,-,-,1300,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,2,2,2,2,9,9,-,-,-,-,-,-,-,-,-,-,-,-,100,100,-,-,-,-,0,99,100,100,100,85,91,47,16,25,20,42,7,32,1,1,24694,-,-,-,-,76,72,65,67,67,47,52,50,6,7,7,7,7,7,91,90,80,77,-,-
   Eastern Europe and Central Asia,425237,104630,29039,0,0,5528,2,64,67,71,51,32,19,67,1,0,,0,47,35,11,6,12,10,37,9,20,17,6,6,2,10,5,3,60992,31086,76,74,67,-,-,99,98,32,1000,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,21,4,4,2,2,13,14,99,99,97,96,66,60,-,-,-,-,-,-,100,100,-,-,-,10,-,99,99,99,99,66,81,45,17,24,19,43,7,34,1,1,8437,-,-,-,-,78,73,66,71,69,45,50,48,7,8,7,7,8,8,93,92,66,66,-,-
   Western Europe,496711,91635,23795,0,0,4570,2,71,78,81,56,24,32,77,1,0,,2,10,6,4,3,4,3,9,3,6,3,2,2,1,4,3,2,16942,10269,84,84,82,-,-,98,-,-,290,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,1,1,2,2,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,100,100,100,100,100,100,-,-,-,20,40,7,30,1,1,38421,-,-,-,-,75,71,64,65,65,50,53,52,5,7,6,7,7,7,89,88,96,92,-,-
